id,adult,genre_ids,original_language,original_title,popularity,title,vote_average,vote_count,Animation,Family,Adventure,Comedy,Action,Crime,Thriller,Science Fiction,Drama,Fantasy,Horror,Romance,War,Music,Western,TV Movie,Mystery,History,Documentary
852370,False,['Drama'],ko,아이돌 승하의 19금 AV를 찍자,48.21,Idol Seungha's R-Rated Film Shooting,6.603,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
949567,False,"['Fantasy', 'Horror']",en,The Exorcism of Hannah Stevenson,62.876,The Exorcism of Hannah Stevenson,5.7,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36679,False,"['Action', 'Adventure', 'Science Fiction']",ja,ゴジラvsキングギドラ,76.423,Godzilla vs. King Ghidorah,6.975,197,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477777,False,"['Science Fiction', 'Animation', 'Drama', 'Action']",ja,コードギアス 反逆のルルーシュⅡ 叛道,67.367,Code Geass: Lelouch of the Rebellion – Transgression,7.136,23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256591,False,"['Romance', 'Comedy', 'Crime']",en,Focus,65.167,Focus,6.88,7652,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89602,False,"['Crime', 'Action', 'Comedy']",en,Crazy Mama,83.549,Crazy Mama,5.7,13,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10895,False,"['Animation', 'Family', 'Fantasy']",en,Pinocchio,56.654,Pinocchio,7.105,5716,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378236,False,"['Animation', 'Family', 'Comedy']",en,The Emoji Movie,52.903,The Emoji Movie,5.443,3005,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39203,False,"['Animation', 'Mystery']",ja,名探偵コナン 銀翼の奇術師,49.389,Detective Conan: Magician of the Silver Sky,6.993,137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9874,False,"['Action', 'Crime', 'Thriller']",en,Cobra,76.885,Cobra,6.1,1703,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
