,genre_ids
521,"['Romance', 'Drama']"
522,"['Thriller', 'Drama']"
523,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
524,"['Comedy', 'Drama', 'Thriller']"
525,['Drama']
526,"['Action', 'Thriller']"
527,"['Action', 'Science Fiction', 'Adventure']"
528,"['Drama', 'Crime']"
529,"['Family', 'Animation', 'Adventure', 'Comedy']"
530,"['Drama', 'Science Fiction', 'Thriller']"
531,"['Action', 'Thriller', 'Crime']"
532,"['Family', 'Animation', 'Adventure', 'Comedy']"
533,"['Comedy', 'Drama']"
534,"['Animation', 'Music', 'Comedy', 'Fantasy']"
535,"['Drama', 'Comedy']"
536,"['Horror', 'Crime', 'Drama', 'Fantasy']"
537,"['Drama', 'Thriller', 'Horror']"
538,['']
539,"['Animation', 'Family', 'Science Fiction']"
540,"['Action', 'Adventure', 'Science Fiction']"
541,"['Science Fiction', 'Action', 'Adventure']"
542,"['Fantasy', 'Drama', 'Crime']"
543,"['Action', 'Thriller', 'Adventure']"
544,"['Fantasy', 'Adventure']"
545,"['Action', 'Comedy', 'Thriller']"
546,['Thriller']
547,"['Comedy', 'Drama', 'Horror', 'Fantasy']"
548,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
549,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
550,"['Drama', 'History', 'War']"
551,"['Action', 'Animation', 'Fantasy']"
552,"['Comedy', 'Adventure']"
553,['Romance']
554,"['Action', 'Comedy', 'Science Fiction']"
555,"['Comedy', 'Romance']"
556,"['Action', 'Adventure', 'Science Fiction']"
557,"['Action', 'Thriller', 'Science Fiction']"
558,"['Drama', 'History', 'War']"
559,"['Fantasy', 'Action', 'Horror']"
560,"['Science Fiction', 'Horror']"
561,['Horror']
562,"['Drama', 'Crime']"
563,"['Crime', 'Drama', 'Thriller']"
564,"['Animation', 'Family', 'Adventure']"
565,"['Adventure', 'Drama', 'Action']"
566,"['Adventure', 'Action', 'Fantasy']"
567,"['Family', 'Animation', 'Adventure', 'Comedy']"
568,"['Action', 'Comedy', 'Horror', 'Thriller']"
569,"['Adventure', 'Action', 'Fantasy']"
570,"['Action', 'Comedy', 'Adventure', 'Thriller']"
571,"['Comedy', 'Science Fiction']"
572,['Comedy']
573,"['Science Fiction', 'Action']"
574,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
575,"['Action', 'Adventure', 'Fantasy']"
576,['Horror']
577,"['Action', 'Adventure', 'Science Fiction']"
578,"['Fantasy', 'Adventure', 'Action']"
579,"['Comedy', 'Action', 'Crime']"
580,"['Action', 'Adventure', 'Fantasy']"
581,"['Animation', 'Family', 'Adventure', 'Comedy']"
582,['Drama']
583,"['Horror', 'Thriller']"
584,"['Crime', 'Thriller', 'Action', 'Mystery']"
