,adult,genre_ids,id,original_language,original_title,popularity,title,vote_average,vote_count,Animation,Family,Adventure,Comedy,Action,Crime,Thriller,Science Fiction,Drama,Fantasy,Horror,Romance,War,Music,Western,TV Movie,Mystery,History,Documentary
8060,False,['Comedy'],89492,en,This Is 40,35.764,This Is 40,5.881,2111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8061,False,['Comedy'],13168,en,Smiley Face,22.834,Smiley Face,5.9,267,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8062,False,['Drama'],687,en,Dead Man Walking,23.832,Dead Man Walking,7.326,1308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8063,False,"['Action', 'Adventure', 'Science Fiction', 'Fantasy', 'Thriller']",15767,ja,ゴジラ ファイナルウォーズ,30.582,Godzilla: Final Wars,6.998,286,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8064,False,"['Comedy', 'Crime']",9932,en,Analyze That,23.332,Analyze That,5.8,1198,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8065,False,"['Drama', 'Crime']",15771,en,Class Action,31.081,Class Action,6.3,151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8066,False,"['Adventure', 'Action', 'Science Fiction']",41517,hi,Ra.One,21.584,Ra.One,5.7,323,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8067,False,"['Animation', 'Fantasy', 'Family']",683127,ja,アーヤと魔女,29.344,Earwig and the Witch,5.931,240,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8068,False,"['Family', 'Adventure', 'Fantasy', 'Romance', 'Drama']",385448,en,The Little Mermaid,25.338,The Little Mermaid,5.029,828,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8069,False,['Documentary'],1247031,en,Federer: Twelve Final Days,30.901,Federer: Twelve Final Days,7.77,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8070,False,"['Drama', 'History']",1883,en,Malcolm X,28.08,Malcolm X,7.536,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8071,False,"['Animation', 'Fantasy', 'Adventure']",1028318,zh,山海经之再见怪兽,25.529,Goodbye Monster,6.0,11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8072,False,"['Drama', 'History', 'Romance']",32261,en,Scandal,24.409,Scandal,5.913,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8073,False,"['Romance', 'Horror']",371193,cn,愛的精靈,26.949,The Spirit of Love,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8074,False,['Comedy'],121514,it,Miracolo italiano,26.859,Miracolo italiano,4.077,26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8075,False,"['Thriller', 'Horror', 'Mystery']",947612,en,Exploited,29.789,Exploited,4.152,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8076,False,['Thriller'],994441,en,Summit Fever,33.887,Summit Fever,5.5,51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8077,False,['Romance'],1146412,en,Gabriel's Redemption: Part II,24.896,Gabriel's Redemption: Part II,7.64,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8078,False,['Thriller'],879412,en,You Can't Run Forever,24.241,You Can't Run Forever,4.69,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8079,False,"['Action', 'Comedy']",11950,en,Cannonball Run II,28.078,Cannonball Run II,5.4,307,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080,False,"['Comedy', 'Drama', 'Romance']",24070,en,Mixed Nuts,27.845,Mixed Nuts,5.473,183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8081,False,"['Animation', 'Adventure', 'Fantasy']",872976,ja,デジモンアドベンチャー02 THE BEGINNING,27.843,Digimon Adventure 02: The Beginning,6.7,16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8082,False,"['Drama', 'Comedy']",2759,en,"The Adventures of Priscilla, Queen of the Desert",27.843,"The Adventures of Priscilla, Queen of the Desert",7.3,772,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8083,False,"['Adventure', 'Action', 'Drama', 'Fantasy']",7840,en,"10,000 BC",27.842,"10,000 BC",5.476,2864,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8084,False,"['Horror', 'Action']",988253,tl,Day Zero,27.841,Day Zero,6.553,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8085,False,"['Action', 'Crime', 'Thriller']",471014,en,Wheelman,27.84,Wheelman,6.114,609,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8086,False,"['Romance', 'Drama']",659959,fr,Été 85,27.834,Summer of 85,7.4,803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8087,False,"['Action', 'Western', 'Thriller', 'Crime', 'Mystery']",785663,en,Old Henry,27.832,Old Henry,7.251,534,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8088,False,"['Comedy', 'Romance']",37650,en,Nothing Sacred,27.832,Nothing Sacred,6.2,95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8089,False,"['Crime', 'Western']",20638,en,Yellow Sky,27.831,Yellow Sky,6.9,110,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8090,False,"['Mystery', 'Thriller']",1030613,nl,Faithfully Yours,27.827,Faithfully Yours,6.005,187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8091,False,['Drama'],23383,en,Hamlet,27.825,Hamlet,7.412,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8092,False,"['Animation', 'Action', 'Comedy']",732203,ja,銀魂 THE FINAL,27.818,Gintama: The Very Final,8.283,60,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8093,False,"['Romance', 'Comedy']",13596,en,My Best Friend's Girl,27.818,My Best Friend's Girl,5.6,726,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8094,False,"['Horror', 'Mystery', 'Thriller']",12205,ja,仄暗い水の底から,27.818,Dark Water,6.791,584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8095,False,"['Crime', 'Comedy', 'Drama']",16723,en,Sugar & Spice,27.817,Sugar & Spice,6.333,247,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8096,False,"['Thriller', 'Drama', 'Action']",429450,ko,판도라,27.812,Pandora,7.55,453,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8097,False,['Drama'],417812,en,Wildlife,27.812,Wildlife,6.658,688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8098,False,"['Horror', 'Science Fiction', 'Thriller']",377264,en,Morgan,27.806,Morgan,5.796,1443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8099,False,['Drama'],1024621,ja,ちひろさん,27.803,Call Me Chihiro,7.092,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8100,False,"['Animation', 'Comedy', 'Fantasy']",877183,en,The Simpsons in Plusaversary,27.935,The Simpsons in Plusaversary,6.521,399,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
